Shops,ATMs,Downtown,Weekday,Center,High,Withdraw
997,9,1,1,0,1,70.70121261
95,2,0,1,0,1,17.51446342
1011,8,1,1,0,0,71.90922657
1005,13,1,1,0,0,66.35544915
103,2,0,1,0,0,16.2889547
1008,11,1,0,0,0,70.24771168
986,12,1,0,0,0,67.53832397
996,12,1,1,0,0,67.25959373
95,3,0,1,0,1,16.16362126
969,14,1,0,0,0,64.80655208
1004,10,1,1,0,0,69.79093259
975,8,1,0,0,0,70.0289425
1020,11,1,1,0,1,71.22859695
101,3,0,1,0,0,15.48953956
1005,9,1,1,0,0,70.06864699
1001,9,1,1,0,0,69.29605583
100,1,0,0,0,0,19.58400172
105,4,0,1,0,0,14.77168925
992,9,1,0,0,0,71.84085376
1022,10,1,1,0,1,72.36499711
107,4,0,1,0,1,16.17246602
99,3,0,1,0,0,15.14082082
992,11,1,0,0,1,70.30960958
1019,13,1,1,1,0,71.2207455
98,3,0,1,0,0,15.47080051
996,9,1,0,1,1,95.8391241
1004,14,1,1,0,0,64.71127509
1019,12,1,0,0,0,70.84264679
97,3,0,1,0,1,16.99341948
986,14,1,1,0,1,64.42096622
987,9,1,1,0,0,67.77743902
995,13,1,1,0,0,66.1855893
999,11,1,1,0,1,68.7942685
975,11,1,1,0,0,65.28526673
1008,9,1,1,0,1,71.55154622
1011,11,1,1,0,0,70.09529585
995,11,1,0,0,1,70.5433004
1015,15,1,0,1,1,92.02491757
998,12,1,0,0,0,68.61451359
1015,9,1,1,0,1,72.45341023
984,6,1,1,0,0,71.09748047
981,12,1,1,0,0,65.40420231
1012,12,1,1,0,0,68.58726716
1003,12,1,1,0,0,66.96658313
1009,11,1,1,0,0,68.27372853
982,7,1,1,0,0,70.11359527
99,3,0,1,0,1,16.50249072
102,4,0,1,0,0,14.27652025
990,9,1,0,0,0,71.17325889
92,3,0,1,0,0,15.11681575
999,12,1,1,0,0,67.72400175
995,14,1,1,0,1,65.99067926
1018,11,1,1,0,0,69.81156112
1026,14,1,0,0,1,70.19906468
99,5,0,0,0,0,15.50362041
1028,13,1,1,0,0,68.37597745
1010,12,1,0,0,0,71.2816469
96,3,0,0,0,0,17.98227597
999,10,1,1,0,0,68.23644287
986,12,1,1,0,1,65.54385092
998,12,1,1,0,0,65.60388931
101,3,0,1,1,0,18.63987137
97,2,0,1,0,0,15.69809969
988,10,1,1,0,0,66.92381264
94,1,0,1,0,1,18.61216746
985,5,1,1,1,0,74.74185433
1037,9,1,1,0,1,76.22334523
105,4,0,0,0,0,17.42348617
1022,11,1,1,0,0,70.12902941
970,15,1,1,1,0,64.29839948
1014,10,1,1,0,0,70.43493288
994,12,1,1,0,1,66.93443392
999,9,1,0,0,1,72.93982842
983,9,1,1,0,0,67.61705737
101,2,0,1,0,0,16.13415785
990,9,1,1,1,0,70.96676354
104,3,0,1,0,0,15.47107098
975,10,1,0,0,1,69.84058491
1028,8,1,0,1,1,100.8772015
105,4,0,1,1,1,18.09448456
1000,12,1,0,0,1,69.31116487
96,4,0,0,1,0,22.44832371
989,11,1,0,0,0,68.89600545
973,7,1,1,0,1,70.46795528
1018,8,1,0,0,0,74.31302355
979,10,1,1,0,1,67.53021307
983,7,1,1,0,0,70.15695388
992,11,1,1,1,0,70.27363122
974,10,1,1,0,1,66.23393647
965,6,1,1,0,0,69.39452386
1001,10,1,1,0,0,68.57859218
970,9,1,1,0,0,67.12414647
102,2,0,1,0,0,16.87587597
1013,8,1,1,0,1,73.92758443
995,10,1,0,0,0,70.39156616
1015,9,1,1,1,0,75.12519496
1012,14,1,1,0,1,67.17100669
1000,9,1,1,0,0,69.856707
962,12,1,1,0,0,63.24350121
1002,13,1,1,0,0,66.087157
1015,12,1,0,0,0,70.19525386
99,3,0,1,0,0,14.81061517
106,3,0,1,0,1,16.0176616
1003,12,1,0,0,1,69.73369387
96,4,0,1,0,1,15.65891413
988,10,1,1,0,0,67.91130808
971,10,1,1,1,0,68.586548
101,3,0,1,0,1,17.19049134
107,4,0,1,1,1,18.37830135
978,11,1,1,1,0,68.49334784
97,1,0,1,0,0,16.6807709
982,9,1,1,0,0,67.27560378
986,11,1,1,0,1,67.53537379
91,4,0,1,0,1,15.65889586
1060,9,1,1,0,1,76.52870085
969,10,1,1,0,1,67.32221165
986,13,1,0,0,0,66.96754355
98,4,0,1,0,0,14.44079069
98,2,0,0,0,0,18.46574796
96,4,0,0,1,1,22.40401694
1018,7,1,0,0,0,77.0202932
1008,8,1,1,1,0,75.48422077
1029,9,1,0,0,0,75.3335033
1020,11,1,1,0,1,71.07448175
970,11,1,1,0,0,65.59964578
970,7,1,1,0,0,68.5312914
1033,14,1,0,0,0,71.51419341
988,8,1,1,0,1,71.77560051
966,9,1,0,1,0,90.26958602
1008,8,1,0,0,0,74.23289826
95,2,0,1,0,1,16.96052134
966,14,1,1,0,1,62.05010336
1012,12,1,1,0,0,68.25238298
1011,11,1,1,0,1,70.29270731
102,3,0,0,0,0,17.85241817
976,15,1,0,0,1,64.66525155
993,9,1,0,0,1,72.48547944
1032,10,1,1,0,0,72.77600445
997,10,1,1,0,0,67.92283362
99,3,0,0,1,0,22.28482539
1001,7,1,0,0,0,74.25609832
996,8,1,1,0,1,71.63315772
1008,9,1,1,0,0,70.48617025
1015,7,1,1,0,0,74.6865383
106,2,0,1,1,1,21.62962112
986,10,1,1,0,0,66.90456346
1000,9,1,1,0,0,69.82283246
96,3,0,1,0,0,16.29489274
982,10,1,1,1,0,70.99314454
998,12,1,1,0,1,67.55135665
1012,9,1,1,0,1,72.49627449
1013,9,1,1,0,0,71.72889064
989,9,1,1,0,1,69.99127422
1008,7,1,1,0,0,73.18586994
995,11,1,1,0,0,67.66477933
104,2,0,1,0,1,17.46825731
959,8,1,1,0,0,66.51254166
986,8,1,1,0,0,69.60590653
988,9,1,1,0,0,68.31411293
105,2,0,1,0,0,16.76711658
998,13,1,1,0,0,65.16175637
999,10,1,1,0,0,70.02160536
89,2,0,1,0,1,16.97847362
102,4,0,1,0,1,16.1874061
98,4,0,1,0,0,13.79182254
984,11,1,0,0,0,68.29359696
996,10,1,1,0,1,69.11564431
1005,12,1,1,0,1,68.94377738
1028,8,1,1,0,0,73.95711631
1023,10,1,1,0,0,71.2109306
1013,10,1,1,0,0,69.83226507
101,4,0,0,0,0,16.59061325
1003,12,1,1,0,0,67.07094782
99,3,0,1,1,0,18.64267369
993,9,1,1,0,1,69.83382948
1015,11,1,0,0,1,72.84642698
96,3,0,0,0,1,18.62335623
1003,14,1,1,1,1,68.85056923
103,2,0,0,0,0,18.77205921
105,3,0,1,0,1,16.56398455
1032,8,1,0,1,1,101.576382
1022,10,1,1,0,0,72.38819524
985,10,1,1,0,1,69.09898168
983,9,1,1,0,0,67.9574196
936,10,1,1,0,0,61.04046623
98,2,0,1,0,0,16.2466269
1015,8,1,1,0,1,73.43891441
96,2,0,0,0,0,18.84043379
103,4,0,1,1,0,17.60747504
981,7,1,1,0,0,70.1210621
95,3,0,0,0,0,16.24917662
103,2,0,0,0,0,18.42027952
102,4,0,1,0,0,14.46547764
1042,11,1,1,0,1,73.5094986
1002,11,1,1,0,1,68.94645499
99,2,0,1,0,1,17.74072784
101,2,0,1,0,0,16.7289058
1037,14,1,1,0,0,69.45477323
977,11,1,0,0,0,67.04383651
975,9,1,1,0,1,68.62849948
1010,8,1,1,1,0,75.38287025
1041,10,1,1,0,1,74.48894383
1026,9,1,1,0,0,72.36350098
1000,10,1,1,0,1,70.02883449
1012,9,1,1,0,0,71.76384874
1046,10,1,1,0,1,74.85641646
1036,12,1,1,0,0,70.33287533
108,3,0,1,0,0,15.25716582
101,3,0,0,0,1,18.27660495
106,5,0,0,0,0,15.7569368
1003,12,1,1,0,1,68.64357601
94,4,0,1,0,0,14.80718095
994,10,1,1,0,0,68.34328012
96,3,0,1,0,0,14.78620414
995,9,1,1,0,0,69.21987555
98,2,0,1,0,0,17.58955764
977,12,1,1,0,0,64.46504978
1018,9,1,1,0,0,71.88990577
97,4,0,0,0,0,16.39299183
100,3,0,1,1,1,19.21763072
1003,8,1,1,0,0,70.31059443
998,12,1,1,0,0,66.13255942
102,2,0,0,0,0,18.45595375
106,2,0,1,0,0,15.85965708
993,7,1,1,0,0,70.98072334
975,11,1,0,0,0,67.16670097
98,2,0,1,0,0,16.40805274
989,9,1,1,1,0,71.13934485
109,2,0,1,0,0,16.44941699
1030,10,1,1,0,1,72.71216084
992,8,1,0,0,0,71.66733602
94,2,0,0,0,0,18.00943359
96,4,0,1,0,1,15.62745798
984,11,1,0,0,1,68.92944437
980,12,1,1,0,0,64.39355631
994,6,1,0,0,1,76.17107168
981,11,1,1,1,0,68.37459283
1001,11,1,1,0,0,67.9570975
972,7,1,1,0,0,68.76855256
1029,7,1,0,0,1,79.01187879
101,5,0,1,0,0,13.22250392
90,4,0,1,0,1,15.82501792
986,9,1,0,0,1,71.76928891
1001,11,1,0,0,0,69.63458453
977,14,1,1,0,0,62.66515876
1008,10,1,1,0,0,70.58793797
95,4,0,1,0,0,14.52179365
98,3,0,1,0,0,14.82918471
99,3,0,0,0,0,17.92904758
987,10,1,1,0,1,69.53325758
1006,11,1,1,0,0,68.93174623
997,13,1,0,0,1,67.77838119
111,2,0,0,0,0,18.48149828
998,7,1,0,0,1,74.26997922
1025,10,1,1,0,0,71.57215164
1038,3,1,1,0,1,80.97856461
104,3,0,1,0,0,15.44472772
101,3,0,1,0,0,14.62531718
984,6,1,1,0,1,71.2258459
98,2,0,1,0,0,17.2488375
975,10,1,1,0,0,66.67507467
995,10,1,1,1,0,71.73823188
108,2,0,0,0,0,19.28898759
990,12,1,1,0,1,66.50908293
1003,10,1,1,0,0,69.49037096
998,12,1,1,0,1,67.80999305
1005,9,1,1,0,0,70.35739484
1032,11,1,0,0,0,73.43012934
1000,8,1,1,0,1,72.5459384
101,2,0,1,0,0,16.56651919
998,11,1,1,0,1,69.05820295
95,3,0,0,0,1,19.33243852
996,10,1,1,0,0,67.99785573
984,10,1,0,1,0,92.59001477
991,9,1,1,0,0,69.14143672
990,7,1,1,1,0,73.98900852
1009,10,1,0,0,1,72.23531885
1015,13,1,1,0,1,68.79841814
996,10,1,1,0,1,69.45084012
1040,8,1,1,0,0,75.5794181
1008,13,1,1,0,1,68.09175624
995,9,1,1,1,1,73.39510013
100,2,0,1,0,0,16.19535332
93,3,0,0,0,0,17.55985435
106,3,0,1,1,0,18.48908981
91,0,0,1,0,1,18.38114556
1012,12,1,1,0,0,68.61229055
1001,9,1,1,0,0,70.84726195
1004,8,1,1,0,0,71.52405343
1015,12,1,1,0,0,68.1507517
1020,9,1,1,0,0,72.80388362
95,4,0,1,0,0,14.39577208
988,10,1,1,0,0,67.32485005
970,13,1,0,0,1,65.06186357
100,4,0,0,0,0,15.80394891
978,6,1,1,0,0,69.43391109
960,10,1,1,0,1,66.1332951
992,10,1,1,0,0,68.01312745
963,14,1,0,0,1,63.7918871
103,4,0,1,0,1,15.05655616
1009,11,1,0,0,1,71.984638
99,3,0,1,0,0,15.33936861
96,2,0,0,0,0,17.94300998
96,3,0,1,0,1,15.50597861
986,11,1,1,0,0,66.48923799
1019,14,1,1,0,0,66.67914758
93,2,0,0,0,0,18.57627941
1009,11,1,1,0,0,69.28536094
95,3,0,1,1,1,20.1589894
967,9,1,1,1,0,69.55134209
981,12,1,1,0,0,64.67141836
99,2,0,0,0,0,18.47744708
1020,9,1,1,0,0,71.82355439
1002,10,1,1,0,1,70.86682137
1031,11,1,1,1,1,74.5095078
992,9,1,1,0,0,68.89444303
1026,10,1,1,0,1,72.32725097
997,5,1,1,0,0,73.66632262
985,7,1,1,0,1,70.63520636
1020,11,1,1,0,1,71.72957078
90,4,0,1,0,0,14.48734438
1010,11,1,0,0,1,72.40745772
975,9,1,1,0,1,68.45752329
1012,8,1,1,0,1,72.78228065
101,3,0,0,0,0,17.58386524
95,2,0,0,0,0,18.39389856
1006,13,1,1,0,0,66.38743215
105,3,0,1,0,0,15.39558623
1021,10,1,1,0,1,72.03316693
1033,11,1,0,0,1,74.93404466
988,9,1,1,0,0,68.63163507
92,3,0,1,0,0,14.72515701
1004,7,1,1,0,0,72.20019263
1029,11,1,0,0,0,73.08632974
98,3,0,1,0,0,16.12939753
995,10,1,1,0,0,68.94646842
111,3,0,1,0,0,14.51276782
993,10,1,1,0,0,68.29877349
1002,8,1,1,0,0,71.16963692
983,12,1,0,0,1,67.56117849
1011,11,1,0,0,0,71.05193597
1007,5,1,1,0,1,75.70662807
1013,7,1,0,0,0,75.37010433
1054,7,1,1,0,0,78.33981646
950,8,1,1,1,0,68.47213618
96,3,0,1,0,1,17.08277245
985,7,1,0,1,0,95.35880696
91,2,0,1,0,1,16.65163849
994,10,1,0,0,0,70.30881553
1038,14,1,1,0,1,70.62797035
995,12,1,1,0,1,67.55864161
95,3,0,1,0,0,15.16841389
111,3,0,0,0,0,17.91028423
990,11,1,1,0,1,68.36248607
984,9,1,1,0,0,66.96055391
967,10,1,1,1,0,68.67193715
988,10,1,1,1,0,70.1973197
1014,8,1,1,0,0,73.02901835
96,3,0,1,1,0,18.23114538
1028,9,1,0,0,0,75.02053122
92,2,0,0,0,0,17.88069135
983,10,1,1,0,0,67.07733607
96,2,0,0,0,0,19.56618057
986,8,1,0,0,1,71.54207391
975,12,1,1,1,0,67.43371824
1005,8,1,0,0,0,73.69034346
994,12,1,1,0,1,67.07191941
999,8,1,1,0,0,70.57096865
1040,14,1,1,0,0,68.44769642
985,8,1,0,0,0,71.47659627
1018,8,1,1,0,1,74.59648621
99,2,0,0,1,1,24.42231836
959,13,1,1,0,0,60.80937026
99,4,0,1,0,0,14.88876554
96,2,0,1,0,0,16.61579081
98,6,0,0,0,0,14.29114911
103,3,0,1,0,0,16.1511116
1034,8,1,0,1,0,100.4390617
999,14,1,1,0,0,65.04824814
963,10,1,1,0,0,65.12958475
97,4,0,0,0,0,16.87506284
991,8,1,0,1,1,96.24802491
1023,7,1,1,0,1,75.68691548
1018,8,1,1,0,0,72.60216027
963,13,1,0,0,0,63.99354615
960,7,1,1,0,1,69.10329907
968,9,1,0,0,0,68.12053117
109,5,0,0,0,0,14.72989274
1000,10,1,1,0,1,70.29580604
109,3,0,1,0,1,17.63870987
999,10,1,1,0,0,69.4556168
98,4,0,1,1,0,17.97833536
995,12,1,1,0,0,67.09726767
1000,8,1,1,0,1,71.79323855
1039,11,1,0,0,1,74.68275323
1054,9,1,1,0,0,76.55312807
958,11,1,1,1,0,67.43472084
1006,10,1,0,0,0,71.28155104
998,10,1,1,0,1,69.94298419
975,10,1,0,0,0,68.82107876
979,10,1,1,0,0,66.62339777
1015,11,1,1,0,1,70.44799717
1048,6,1,0,0,1,81.06027053
1030,12,1,0,0,0,72.4438809
1005,11,1,1,0,1,68.72570134
1001,13,1,1,0,1,67.55344197
104,3,0,1,0,1,17.09983005
1002,11,1,1,0,1,68.99133422
1005,10,1,0,0,1,72.07100643
996,11,1,1,0,0,68.15043927
99,3,0,1,0,0,16.15477089
971,10,1,0,0,1,68.96482824
98,4,0,1,0,0,14.32777698
1035,8,1,0,0,0,77.23637333
1009,13,1,0,0,0,69.95105625
1008,7,1,0,0,1,75.67496925
991,8,1,1,0,0,70.77402661
976,12,1,0,0,1,67.18595683
1021,12,1,1,0,0,68.93639069
1006,11,1,0,0,0,70.38421509
991,9,1,1,0,1,69.526052
965,8,1,1,1,0,69.47523967
982,8,1,1,0,1,70.20269186
95,4,0,1,0,0,13.89862998
982,9,1,1,1,0,71.48892342
1047,11,1,1,0,0,73.10788604
95,4,0,1,0,0,13.87275255
953,10,1,1,0,1,65.09807185
97,5,0,1,0,0,13.07167513
981,8,1,1,1,0,71.12764194
102,2,0,1,0,1,17.32125605
986,9,1,1,0,0,68.13680948
989,11,1,1,0,0,66.7042962
103,2,0,1,0,0,16.62129411
1030,9,1,1,0,0,73.4362225
95,4,0,0,0,0,16.86653884
974,9,1,1,0,1,67.88134707
1054,8,1,1,0,0,76.23741971
98,3,0,0,0,0,17.09635058
993,12,1,0,0,0,69.26382112
965,9,1,1,0,0,66.40837707
967,10,1,1,0,0,65.88222999
994,11,1,1,0,0,67.24164096
993,8,1,0,0,1,74.45046761
956,11,1,1,0,1,63.86355172
1005,14,1,0,0,1,68.66176635
986,9,1,0,0,1,71.91002847
98,2,0,0,0,0,18.06835516
100,4,0,1,0,0,14.48082558
102,2,0,1,0,1,17.60363381
100,3,0,0,0,0,18.21359377
970,9,1,1,0,0,67.08505969
103,3,0,1,0,0,14.94561399
1011,9,1,1,0,0,71.05697162
993,8,1,1,1,0,73.28864478
1009,11,1,0,0,1,72.17123196
1024,5,1,0,0,0,78.85468212
980,9,1,1,0,1,68.39639647
1028,8,1,1,0,0,74.01001575
1007,7,1,1,0,0,73.40922189
955,8,1,1,0,1,67.55052385
1014,10,1,0,0,0,73.00865427
994,12,1,0,0,0,68.73574884
1008,8,1,1,0,0,71.25314184
999,10,1,0,0,0,71.08553149
1004,11,1,0,0,1,71.48610153
103,4,0,1,0,1,15.95996079
988,13,1,1,0,0,64.93101792
99,3,0,1,0,1,17.54079607
1014,7,1,1,0,0,74.30751904
1006,13,1,1,1,0,69.93228307
978,12,1,1,0,1,66.30052409
1002,9,1,1,1,1,74.91575832
1009,12,1,1,0,0,67.6799957
1032,10,1,0,0,0,75.71866408
103,3,0,1,0,1,16.44185274
97,1,0,1,0,0,17.53975633
93,2,0,1,0,1,17.15567441
994,9,1,1,0,0,68.8137451
105,1,0,1,0,0,17.98461889
1015,10,1,1,0,0,70.99738956
1012,13,1,0,0,0,69.43464207
97,1,0,1,0,0,17.89055802
91,4,0,1,0,0,14.16889181
1017,11,1,0,1,0,94.7182412
109,2,0,0,0,0,19.31126277
998,11,1,1,0,1,68.31433978
940,11,1,1,0,0,61.14841404
1007,10,1,1,0,0,70.11652822
100,0,0,1,0,0,18.86276685
1001,12,1,1,0,0,67.19325512
977,12,1,0,0,0,66.33461465
976,8,1,1,0,0,67.86873746
992,12,1,1,0,0,65.8626901
100,4,0,1,1,1,18.79030997
1005,11,1,1,0,0,68.65080463
994,13,1,1,0,0,64.95056905
1016,14,1,0,1,0,91.68433188
1004,11,1,1,0,0,68.22066927
96,3,0,0,0,0,17.75580347
102,3,0,1,0,0,15.01211259
972,11,1,1,0,0,65.43460323
1032,7,1,1,0,0,75.84296931
985,8,1,1,0,1,69.88006852
1001,8,1,0,0,0,72.77413466
980,13,1,1,0,1,64.22645457
95,3,0,1,0,0,15.26516317
1017,10,1,1,0,1,71.3542759
1015,11,1,1,0,0,69.66337142
1011,7,1,1,0,0,72.30914809
